번호,작성자,작성일,댓글,회차,좋아요,대댓글수,댓글_전처리,댓글_토큰,감정_라벨
3359,똔똔,17.02.17,무지개 빤슼,김 비서가 왜 그럴까(애장판) 47화,4,1,무지개 빤슼,"['무지개', '빤슼']",Neutral
3360,별똥비,17.02.17,빅뱅 안드로,김 비서가 왜 그럴까(애장판) 16화,4,댓글 달기,빅뱅 안드로,"['빅뱅', '안드로']",Neutral
3361,할매크러쉬,17.02.17,박박사 지못미,김 비서가 왜 그럴까(애장판) 47화,4,댓글 달기,박박사 지못미,"['박박사', '지못미']",Negative
3362,ShootingStar,17.02.17,할아버지 애기 데리 외할아버지 콘서트 가다 원래 아빠 존재 그렇다 크다 되다,김 비서가 왜 그럴까(애장판) 72화,4,댓글 달기,할아버지 애기 데리 외할아버지 콘서트 가다 원래 아빠 존재 그렇다 크다 되다,"['할아버지', '애기', '데리', '외할아버지', '콘서트', '가다', '원래', '아빠', '존재', '그렇다', '크다', '되다']",Neutral
3363,닐리♥,17.02.17,선희 써니 성연아 성현,김 비서가 왜 그럴까(애장판) 44화,4,댓글 달기,선희 써니 성연아 성현,"['선희', '써니', '성연아', '성현']",Neutral
3364,해바라기,17.02.17,완독 하다 기다리다 보다 재미 읽다 재미 푹욱 빠지다 헤어 나오다 하다 미소 중독 중독,김 비서가 왜 그럴까(애장판) 09화,4,댓글 달기,완독 하다 기다리다 보다 재미 읽다 재미 푹욱 빠지다 헤어 나오다 하다 미소 중독 중독,"['완독', '하다', '기다리다', '보다', '재미', '읽다', '재미', '푹욱', '빠지다', '헤어', '나오다', '하다', '미소', '중독', '중독']",Positive
3365,오오잉,17.02.17,아웃백 식당 아웃백,김 비서가 왜 그럴까(애장판) 15화,4,댓글 달기,아웃백 식당 아웃백,"['아웃백', '식당', '아웃백']",Neutral
3366,혀니,17.02.17,저런 멋지다 여자 일수 없다 미소 이야기 저런 멋지다 여자 절대 꾸다 않다 영준 이란 되어다 그렇다 결혼 하다,김 비서가 왜 그럴까(애장판) 11화,4,댓글 달기,저런 멋지다 여자 일수 없다 미소 이야기 저런 멋지다 여자 절대 꾸다 않다 영준 이란 되어다 그렇다 결혼 하다,"['저런', '멋지다', '여자', '일수', '없다', '미소', '이야기', '저런', '멋지다', '여자', '절대', '꾸다', '않다', '영준', '이란', '되어다', '그렇다', '결혼', '하다']",Positive
3367,두리뭉실둥실,17.02.16,영준 귀엽다 아니다,김 비서가 왜 그럴까(애장판) 59화,4,댓글 달기,영준 귀엽다 아니다,"['영준', '귀엽다', '아니다']",Positive
3368,영옥,17.02.16,진심 보이 진심 착하다 누군가 알아주다 미소 하다 진심 이심전심 하다 우리네 드라마틱하다 마음먹다 보다 읽다 모든 파이팅,김 비서가 왜 그럴까(애장판) 11화,4,댓글 달기,진심 보이 진심 착하다 누군가 알아주다 미소 하다 진심 이심전심 하다 우리네 드라마틱하다 마음먹다 보다 읽다 모든 파이팅,"['진심', '보이', '진심', '착하다', '누군가', '알아주다', '미소', '하다', '진심', '이심전심', '하다', '우리네', '드라마틱하다', '마음먹다', '보다', '읽다', '모든', '파이팅']",Positive
3369,소설중독,17.02.16,웹툰 보고또보고 보다 재밌다,김 비서가 왜 그럴까(애장판) 03화,4,댓글 달기,웹툰 보고또보고 보다 재밌다,"['웹툰', '보고또보고', '보다', '재밌다']",Positive
3370,고양이,17.02.16,영준 과거 기억 하다 미소 잃다 생각 되다 생각나다 않다 과거,김 비서가 왜 그럴까(애장판) 06화,4,댓글 달기,영준 과거 기억 하다 미소 잃다 생각 되다 생각나다 않다 과거,"['영준', '과거', '기억', '하다', '미소', '잃다', '생각', '되다', '생각나다', '않다', '과거']",Neutral
3371,ShootingStar,17.02.16,어이쿠 부회장 술자리 난입 예정,김 비서가 왜 그럴까(애장판) 60화,4,댓글 달기,어이쿠 부회장 술자리 난입 예정,"['어이쿠', '부회장', '술자리', '난입', '예정']",Neutral
3372,유진♡,17.02.16,식스센스 보다,김 비서가 왜 그럴까(애장판) 50화,4,댓글 달기,식스센스 보다,"['식스센스', '보다']",Neutral
3373,ShootingStar,17.02.16,어이쿠 예상 하다,김 비서가 왜 그럴까(애장판) 52화,4,댓글 달기,어이쿠 예상 하다,"['어이쿠', '예상', '하다']",Neutral
3374,ShootingStar,17.02.16,어리다 세상 위험하다 알다 세상 안전하다 만들다 중요하다 겁니다,김 비서가 왜 그럴까(애장판) 51화,4,댓글 달기,어리다 세상 위험하다 알다 세상 안전하다 만들다 중요하다 겁니다,"['어리다', '세상', '위험하다', '알다', '세상', '안전하다', '만들다', '중요하다', '겁니다']",Positive
3375,ShootingStar,17.02.16,아아 번안,김 비서가 왜 그럴까(애장판) 49화,4,댓글 달기,아아 번안,"['아아', '번안']",Neutral
3376,ShootingStar,17.02.16,처음 기억 잃다 없다 그렇다 넘다 빗장 건거 이제야 리다 빗장,김 비서가 왜 그럴까(애장판) 42화,4,댓글 달기,처음 기억 잃다 없다 그렇다 넘다 빗장 건거 이제야 리다 빗장,"['처음', '기억', '잃다', '없다', '그렇다', '넘다', '빗장', '건거', '이제야', '리다', '빗장']",Negative
3377,ShootingStar,17.02.16,아아 달달 사모님 태도 바꾸다 아니다 불안,김 비서가 왜 그럴까(애장판) 41화,4,댓글 달기,아아 달달 사모님 태도 바꾸다 아니다 불안,"['아아', '달달', '사모님', '태도', '바꾸다', '아니다', '불안']",Negative
3378,ShootingStar,17.02.16,말리 들다,김 비서가 왜 그럴까(애장판) 36화,4,댓글 달기,말리 들다,"['말리', '들다']",Neutral
3379,ShootingStar,17.02.16,본인 모르다 사이,김 비서가 왜 그럴까(애장판) 33화,4,댓글 달기,본인 모르다 사이,"['본인', '모르다', '사이']",Neutral
3380,ShootingStar,17.02.16,나머지 남자 오징어 만들다 버리다 저주 위험하다,김 비서가 왜 그럴까(애장판) 20화,4,댓글 달기,나머지 남자 오징어 만들다 버리다 저주 위험하다,"['나머지', '남자', '오징어', '만들다', '버리다', '저주', '위험하다']",Negative
3381,ShootingStar,17.02.16,사모님 예비 며늘 애기 찍다 두다 본인 모르다 저런,김 비서가 왜 그럴까(애장판) 11화,4,댓글 달기,사모님 예비 며늘 애기 찍다 두다 본인 모르다 저런,"['사모님', '예비', '며늘', '애기', '찍다', '두다', '본인', '모르다', '저런']",Neutral
3382,파란,17.02.16,아들 아빠 영향 받다,김 비서가 왜 그럴까(애장판) 72화,4,댓글 달기,아들 아빠 영향 받다,"['아들', '아빠', '영향', '받다']",Positive
3383,ShootingStar,17.02.15,필요 없다 식다 좋다 앞서다 회장,김 비서가 왜 그럴까(애장판) 10화,4,1,필요 없다 식다 좋다 앞서다 회장,"['필요', '없다', '식다', '좋다', '앞서다', '회장']",Neutral
3384,류청우가슴,17.02.15,영준 직원 거미 치우다 달라 하다,김 비서가 왜 그럴까(애장판) 06화,4,1,영준 직원 거미 치우다 달라 하다,"['영준', '직원', '거미', '치우다', '달라', '하다']",Neutral
3385,일단읽고봅시다~💋,17.02.15,어므 읽다 버리다 우쩌,김 비서가 왜 그럴까(애장판) 78화,4,댓글 달기,어므 읽다 버리다 우쩌,"['어므', '읽다', '버리다', '우쩌']",Negative
3386,옥이,17.02.15,시아버지 사랑 받다 며느리,김 비서가 왜 그럴까(애장판) 63화,4,댓글 달기,시아버지 사랑 받다 며느리,"['시아버지', '사랑', '받다', '며느리']",Positive
3387,옥이,17.02.15,역시 커플,김 비서가 왜 그럴까(애장판) 58화,4,댓글 달기,역시 커플,"['역시', '커플']",Neutral
3388,혀니,17.02.15,진짜 정말 이렇다 여주 처음 진짜 처음 남다 여주 반한 처음 미소 언니 시집가다 영준 함부로 몸땡 굳다 다니다 않다 정말 마음 드는궂,김 비서가 왜 그럴까(애장판) 09화,4,댓글 달기,진짜 정말 이렇다 여주 처음 진짜 처음 남다 여주 반한 처음 미소 언니 시집가다 영준 함부로 몸땡 굳다 다니다 않다 정말 마음 드는궂,"['진짜', '정말', '이렇다', '여주', '처음', '진짜', '처음', '남다', '여주', '반한', '처음', '미소', '언니', '시집가다', '영준', '함부로', '몸땡', '굳다', '다니다', '않다', '정말', '마음', '드는궂']",Neutral
3389,너울거리는,17.02.15,진작 볼걸 되다 빠지다 보다 어제 보기 시작 하다 역시 빠지다 일찍 볼걸 하다 후회,김 비서가 왜 그럴까(애장판) 14화,4,댓글 달기,진작 볼걸 되다 빠지다 보다 어제 보기 시작 하다 역시 빠지다 일찍 볼걸 하다 후회,"['진작', '볼걸', '되다', '빠지다', '보다', '어제', '보기', '시작', '하다', '역시', '빠지다', '일찍', '볼걸', '하다', '후회']",Negative
3390,캔디,17.02.15,무인 결제 하다 보다 되다 영준 미소 커플 화로 즐기다,김 비서가 왜 그럴까(애장판) 74화,4,댓글 달기,무인 결제 하다 보다 되다 영준 미소 커플 화로 즐기다,"['무인', '결제', '하다', '보다', '되다', '영준', '미소', '커플', '화로', '즐기다']",Positive
3391,냥이핑크,17.02.14,제목 자다 돼다 부회장 이렇다 가다 맞다,김 비서가 왜 그럴까(애장판) 18화,4,1,제목 자다 돼다 부회장 이렇다 가다 맞다,"['제목', '자다', '돼다', '부회장', '이렇다', '가다', '맞다']",Neutral
3392,silk,17.02.14,화보 다가 궁금하다 오다,김 비서가 왜 그럴까(애장판) 02화,4,댓글 달기,화보 다가 궁금하다 오다,"['화보', '다가', '궁금하다', '오다']",Neutral
3393,남청,17.02.14,나다 어리다 놀다 늘다 거미줄 거미 때문 질리 아니다,김 비서가 왜 그럴까(애장판) 07화,4,댓글 달기,나다 어리다 놀다 늘다 거미줄 거미 때문 질리 아니다,"['나다', '어리다', '놀다', '늘다', '거미줄', '거미', '때문', '질리', '아니다']",Positive
3394,으아니~이런일이?,17.02.14,만화 소설 차이 만화 친구 카톡,김 비서가 왜 그럴까(애장판) 12화,4,2,만화 소설 차이 만화 친구 카톡,"['만화', '소설', '차이', '만화', '친구', '카톡']",Neutral
3395,⭐️⭐️⭐️⭐️⭐️,17.02.14,나나 스위트홈 역시 영준,김 비서가 왜 그럴까(애장판) 57화,4,댓글 달기,나나 스위트홈 역시 영준,"['나나', '스위트홈', '역시', '영준']",Neutral
3396,일단읽고봅시다~💋,17.02.14,푸하하하 생각나다 하트 목말 매달리다 측근,김 비서가 왜 그럴까(애장판) 12화,4,댓글 달기,푸하하하 생각나다 하트 목말 매달리다 측근,"['푸하하하', '생각나다', '하트', '목말', '매달리다', '측근']",Neutral
3397,SOOGI,17.02.14,그렇다 그렇다 꿈꾸다 알아보다,김 비서가 왜 그럴까(애장판) 68화,4,댓글 달기,그렇다 그렇다 꿈꾸다 알아보다,"['그렇다', '그렇다', '꿈꾸다', '알아보다']",Neutral
3398,꺄륵,17.02.14,지구 정복 하다 아니다 미소 정복 하다 영준 이의 질투 받다,김 비서가 왜 그럴까(애장판) 69화,4,댓글 달기,지구 정복 하다 아니다 미소 정복 하다 영준 이의 질투 받다,"['지구', '정복', '하다', '아니다', '미소', '정복', '하다', '영준', '이의', '질투', '받다']",Positive
3399,..,17.02.12,그림 기다리다 바꾸다 돼다,김 비서가 왜 그럴까(애장판) 65화,4,댓글 달기,그림 기다리다 바꾸다 돼다,"['그림', '기다리다', '바꾸다', '돼다']",Neutral
3400,꼬막,17.02.11,평화 영준 계속 어문 드럽다,김 비서가 왜 그럴까(애장판) 43화,4,댓글 달기,평화 영준 계속 어문 드럽다,"['평화', '영준', '계속', '어문', '드럽다']",Neutral
3401,빅뱅안드로메다슈퍼노바소닉,17.02.10,거리 면서 하다 하다 와중 사이다 존경 하다,김 비서가 왜 그럴까(애장판) 09화,4,댓글 달기,거리 면서 하다 하다 와중 사이다 존경 하다,"['거리', '면서', '하다', '하다', '와중', '사이다', '존경', '하다']",Positive
3402,💙💚💛💜,17.02.07,정말 자세하다 나오다,김 비서가 왜 그럴까(애장판) 62화,4,댓글 달기,정말 자세하다 나오다,"['정말', '자세하다', '나오다']",Neutral
3403,누구게,17.02.04,닮다,김 비서가 왜 그럴까(애장판) 58화,4,댓글 달기,닮다,['닮다'],Neutral
3404,뜌뜌,17.01.25,많다 성연 병원 보내다,김 비서가 왜 그럴까(애장판) 26화,4,댓글 달기,많다 성연 병원 보내다,"['많다', '성연', '병원', '보내다']",Positive
3405,aaron,17.01.24,미소 신상 정보,김 비서가 왜 그럴까(애장판) 61화,4,댓글 달기,미소 신상 정보,"['미소', '신상', '정보']",Positive
3406,룻시~~^^,17.01.23,돼지 껍데기 먹다 보다,김 비서가 왜 그럴까(애장판) 58화,4,댓글 달기,돼지 껍데기 먹다 보다,"['돼지', '껍데기', '먹다', '보다']",Neutral
3407,이대로가조아,17.01.19,고생 하다 영준,김 비서가 왜 그럴까(애장판) 54화,4,댓글 달기,고생 하다 영준,"['고생', '하다', '영준']",Neutral
3408,블헤&샬롯,17.01.17,주가 기억 하다 확실하다,김 비서가 왜 그럴까(애장판) 10화,4,댓글 달기,주가 기억 하다 확실하다,"['주가', '기억', '하다', '확실하다']",Positive
3409,aaron,17.01.16,나다 계속 누군가 떠오르다,김 비서가 왜 그럴까(애장판) 58화,4,댓글 달기,나다 계속 누군가 떠오르다,"['나다', '계속', '누군가', '떠오르다']",Neutral
3410,gksrud6253,17.01.14,제목 호기심 보다 아니다,김 비서가 왜 그럴까(애장판) 64화,4,댓글 달기,제목 호기심 보다 아니다,"['제목', '호기심', '보다', '아니다']",Neutral
3411,민트박하,17.01.13,미소 납치 되다 하루 안지 언니 반응 쿨하다,김 비서가 왜 그럴까(애장판) 54화,4,댓글 달기,미소 납치 되다 하루 안지 언니 반응 쿨하다,"['미소', '납치', '되다', '하루', '안지', '언니', '반응', '쿨하다']",Neutral
3412,레몬에이드,17.01.12,미소 끌리다 좀더 고개 빳빳 들다 튕기길 바랬 영준 동동 하다 보구 싶다,김 비서가 왜 그럴까(애장판) 36화,4,댓글 달기,미소 끌리다 좀더 고개 빳빳 들다 튕기길 바랬 영준 동동 하다 보구 싶다,"['미소', '끌리다', '좀더', '고개', '빳빳', '들다', '튕기길', '바랬', '영준', '동동', '하다', '보구', '싶다']",Positive
3413,박하영,17.01.12,후기 재미있다 첨봤어욬 여태 다지르다 사람 재미있다 읽다 나다 감사하다 만화 자다 보다 다다 수고 하다 다다,김 비서가 왜 그럴까(애장판) 78화,4,댓글 달기,후기 재미있다 첨봤어욬 여태 다지르다 사람 재미있다 읽다 나다 감사하다 만화 자다 보다 다다 수고 하다 다다,"['후기', '재미있다', '첨봤어욬', '여태', '다지르다', '사람', '재미있다', '읽다', '나다', '감사하다', '만화', '자다', '보다', '다다', '수고', '하다', '다다']",Positive
3414,joechang,17.01.09,넘다 재밌다 영준 자뻑 증세 정말,김 비서가 왜 그럴까(애장판) 12화,4,댓글 달기,넘다 재밌다 영준 자뻑 증세 정말,"['넘다', '재밌다', '영준', '자뻑', '증세', '정말']",Positive
3415,이름,17.01.09,끕끄긐 웃겨섴 하다 되다 숨차 웃기,김 비서가 왜 그럴까(애장판) 08화,4,댓글 달기,끕끄긐 웃겨섴 하다 되다 숨차 웃기,"['끕끄긐', '웃겨섴', '하다', '되다', '숨차', '웃기']",Neutral
3416,유하라,17.01.07,한가지 아쉽다 회사 창립 기념 파티 부장 늦둥이 아들 말다툼 하다 태양 때리다 하다 나중 그렇다 시비 붙다 때리다 하다 이유 아빠 그렇다 되다 이란 차다 씁쓸하다,김 비서가 왜 그럴까(애장판) 78화,4,댓글 달기,한가지 아쉽다 회사 창립 기념 파티 부장 늦둥이 아들 말다툼 하다 태양 때리다 하다 나중 그렇다 시비 붙다 때리다 하다 이유 아빠 그렇다 되다 이란 차다 씁쓸하다,"['한가지', '아쉽다', '회사', '창립', '기념', '파티', '부장', '늦둥이', '아들', '말다툼', '하다', '태양', '때리다', '하다', '나중', '그렇다', '시비', '붙다', '때리다', '하다', '이유', '아빠', '그렇다', '되다', '이란', '차다', '씁쓸하다']",Negative
3417,아름드리,17.01.05,영상통화 대박 그거 여자 남친 감시 쓰다 아니다 벌써 이르다 결혼 하다,김 비서가 왜 그럴까(애장판) 58화,4,댓글 달기,영상통화 대박 그거 여자 남친 감시 쓰다 아니다 벌써 이르다 결혼 하다,"['영상통화', '대박', '그거', '여자', '남친', '감시', '쓰다', '아니다', '벌써', '이르다', '결혼', '하다']",Positive
3418,쭈미,17.01.05,부르다 지다 하다 이렇다 지다,김 비서가 왜 그럴까(애장판) 66화,4,댓글 달기,부르다 지다 하다 이렇다 지다,"['부르다', '지다', '하다', '이렇다', '지다']",Negative
3419,민트박하,17.01.04,영준 착하다 사람 정신병원 나쁘다 보다 끄다 그렇다 우울증 그냥 키우다 쯔쯔,김 비서가 왜 그럴까(애장판) 45화,4,댓글 달기,영준 착하다 사람 정신병원 나쁘다 보다 끄다 그렇다 우울증 그냥 키우다 쯔쯔,"['영준', '착하다', '사람', '정신병원', '나쁘다', '보다', '끄다', '그렇다', '우울증', '그냥', '키우다', '쯔쯔']",Negative
3420,٩(๑'o'๑)۶,17.01.03,사이코 쓰레기 관종 그만하다,김 비서가 왜 그럴까(애장판) 35화,4,댓글 달기,사이코 쓰레기 관종 그만하다,"['사이코', '쓰레기', '관종', '그만하다']",Negative
3421,내맘,17.01.03,하다 하다 하다 하다 으흐 음란 마왕,김 비서가 왜 그럴까(애장판) 66화,4,댓글 달기,하다 하다 하다 하다 으흐 음란 마왕,"['하다', '하다', '하다', '하다', '으흐', '음란', '마왕']",Neutral
3422,베네베네,16.12.28,폭설 일주일 기다리다 택배 아저씨 보다 완전 하다,김 비서가 왜 그럴까(애장판) 67화,4,1,폭설 일주일 기다리다 택배 아저씨 보다 완전 하다,"['폭설', '일주일', '기다리다', '택배', '아저씨', '보다', '완전', '하다']",Neutral
3423,베네베네,16.12.27,오소리 라면 너구리 쎄다 쑤다,김 비서가 왜 그럴까(애장판) 43화,4,댓글 달기,오소리 라면 너구리 쎄다 쑤다,"['오소리', '라면', '너구리', '쎄다', '쑤다']",Neutral
3424,🎗히티,16.12.25,육성 나오다 엄마 저러다 돼다 정신질환 당연하다 치료받다 치료받다 나다 동생 잘못 인정 하다 사과받다 기억 놓이다 왜곡 되다 기억 당사자 나다 보나 세상 에나 자식 망치 부모 어떻다 유형 인지 여기 보다 되다 그렇다 아프다,김 비서가 왜 그럴까(애장판) 45화,4,댓글 달기,육성 나오다 엄마 저러다 돼다 정신질환 당연하다 치료받다 치료받다 나다 동생 잘못 인정 하다 사과받다 기억 놓이다 왜곡 되다 기억 당사자 나다 보나 세상 에나 자식 망치 부모 어떻다 유형 인지 여기 보다 되다 그렇다 아프다,"['육성', '나오다', '엄마', '저러다', '돼다', '정신질환', '당연하다', '치료받다', '치료받다', '나다', '동생', '잘못', '인정', '하다', '사과받다', '기억', '놓이다', '왜곡', '되다', '기억', '당사자', '나다', '보나', '세상', '에나', '자식', '망치', '부모', '어떻다', '유형', '인지', '여기', '보다', '되다', '그렇다', '아프다']",Negative
3425,🎗히티,16.12.24,형제 눈꼽 없다 성연 보고 아우 없다 틀리다 질투 나다 그렇다 죽다 살아오다 동생 기억 뺏다 적반하장 증오 니요 계시 어머니 러시 안되다,김 비서가 왜 그럴까(애장판) 43화,4,댓글 달기,형제 눈꼽 없다 성연 보고 아우 없다 틀리다 질투 나다 그렇다 죽다 살아오다 동생 기억 뺏다 적반하장 증오 니요 계시 어머니 러시 안되다,"['형제', '눈꼽', '없다', '성연', '보고', '아우', '없다', '틀리다', '질투', '나다', '그렇다', '죽다', '살아오다', '동생', '기억', '뺏다', '적반하장', '증오', '니요', '계시', '어머니', '러시', '안되다']",Negative
3426,캔디캔디,16.12.22,좋다 영준 미소 유후 사랑 이방 해안 받다 기원 하다,김 비서가 왜 그럴까(애장판) 43화,4,댓글 달기,좋다 영준 미소 유후 사랑 이방 해안 받다 기원 하다,"['좋다', '영준', '미소', '유후', '사랑', '이방', '해안', '받다', '기원', '하다']",Positive
3427,로설좋아,16.12.22,세계 정복 하다,김 비서가 왜 그럴까(애장판) 67화,4,댓글 달기,세계 정복 하다,"['세계', '정복', '하다']",Neutral
3428,JH,16.12.21,끄다 좋다,김 비서가 왜 그럴까(애장판) 32화,4,댓글 달기,끄다 좋다,"['끄다', '좋다']",Positive
3429,토마토주스가장래희망,16.12.18,미소 뚱뚱하다 아이돌 다이어트 전보 건가,김 비서가 왜 그럴까(애장판) 72화,4,댓글 달기,미소 뚱뚱하다 아이돌 다이어트 전보 건가,"['미소', '뚱뚱하다', '아이돌', '다이어트', '전보', '건가']",Neutral
3430,베네베네,16.12.18,알보칠 아프다,김 비서가 왜 그럴까(애장판) 15화,4,댓글 달기,알보칠 아프다,"['알보칠', '아프다']",Negative
3431,라플,16.12.18,미소 영준 영준 재밌다,김 비서가 왜 그럴까(애장판) 36화,4,댓글 달기,미소 영준 영준 재밌다,"['미소', '영준', '영준', '재밌다']",Positive
3432,후니폐인,16.12.08,부부 부부,김 비서가 왜 그럴까(애장판) 37화,4,댓글 달기,부부 부부,"['부부', '부부']",Neutral
3433,리안,16.12.08,납치 여자 기억 매달 죽다 아니다 매달리다 발버둥치다 그림자 보고 미소 거미 착각 하다 공포증 생기 아니다 거대하다 거미 남다 되다 영준 갑작스럽다 탈출 하다 이유,김 비서가 왜 그럴까(애장판) 50화,4,댓글 달기,납치 여자 기억 매달 죽다 아니다 매달리다 발버둥치다 그림자 보고 미소 거미 착각 하다 공포증 생기 아니다 거대하다 거미 남다 되다 영준 갑작스럽다 탈출 하다 이유,"['납치', '여자', '기억', '매달', '죽다', '아니다', '매달리다', '발버둥치다', '그림자', '보고', '미소', '거미', '착각', '하다', '공포증', '생기', '아니다', '거대하다', '거미', '남다', '되다', '영준', '갑작스럽다', '탈출', '하다', '이유']",Negative
3434,aaron,16.12.07,미소 차다 마음 마음씨 영준 의지 하다 유일하다,김 비서가 왜 그럴까(애장판) 46화,4,댓글 달기,미소 차다 마음 마음씨 영준 의지 하다 유일하다,"['미소', '차다', '마음', '마음씨', '영준', '의지', '하다', '유일하다']",Positive
3435,kim,16.11.30,,김 비서가 왜 그럴까(애장판) 02화,4,댓글 달기,,[],Neutral
3436,판다는구르는후회남주가보고싶어,16.11.29,실수 소장 써다 쓰다 하다 싶다,김 비서가 왜 그럴까(애장판) 41화,4,댓글 달기,실수 소장 써다 쓰다 하다 싶다,"['실수', '소장', '써다', '쓰다', '하다', '싶다']",Negative
3437,라울,16.11.28,역쉬 영준 완전 남자,김 비서가 왜 그럴까(애장판) 47화,4,댓글 달기,역쉬 영준 완전 남자,"['역쉬', '영준', '완전', '남자']",Neutral
3438,왜죠?,16.11.27,으앜 진지하다 애니팡,김 비서가 왜 그럴까(애장판) 29화,4,댓글 달기,으앜 진지하다 애니팡,"['으앜', '진지하다', '애니팡']",Neutral
3439,이스,16.11.27,쿨럵쿨럵,김 비서가 왜 그럴까(애장판) 10화,4,댓글 달기,쿨럵쿨럵,['쿨럵쿨럵'],Neutral
3440,후니폐인,16.11.22,오다 미소 언니 소리 나오다,김 비서가 왜 그럴까(애장판) 09화,4,댓글 달기,오다 미소 언니 소리 나오다,"['오다', '미소', '언니', '소리', '나오다']",Positive
3441,시간보내기,16.11.21,다시 화목 하다 가정 깨다 싫다 모르다 하다 최여사 대단하다 성연 정신병 환자 만들다 한몫 단단하다 하다,김 비서가 왜 그럴까(애장판) 43화,4,댓글 달기,다시 화목 하다 가정 깨다 싫다 모르다 하다 최여사 대단하다 성연 정신병 환자 만들다 한몫 단단하다 하다,"['다시', '화목', '하다', '가정', '깨다', '싫다', '모르다', '하다', '최여사', '대단하다', '성연', '정신병', '환자', '만들다', '한몫', '단단하다', '하다']",Negative
3442,혜진이,16.11.21,모친 말씀 맞다 제수 되다 껄떡 거리 돼다,김 비서가 왜 그럴까(애장판) 46화,4,댓글 달기,모친 말씀 맞다 제수 되다 껄떡 거리 돼다,"['모친', '말씀', '맞다', '제수', '되다', '껄떡', '거리', '돼다']",Neutral
3443,혜진이,16.11.20,영준 살짝 힌트 주다 사람 유리하다 기억 아니다 하다 미소 나중 들다,김 비서가 왜 그럴까(애장판) 34화,4,댓글 달기,영준 살짝 힌트 주다 사람 유리하다 기억 아니다 하다 미소 나중 들다,"['영준', '살짝', '힌트', '주다', '사람', '유리하다', '기억', '아니다', '하다', '미소', '나중', '들다']",Positive
3444,애니사랑~,16.11.20,미소 진실 가까워지다 아프다 진실 기억 하다,김 비서가 왜 그럴까(애장판) 39화,4,댓글 달기,미소 진실 가까워지다 아프다 진실 기억 하다,"['미소', '진실', '가까워지다', '아프다', '진실', '기억', '하다']",Positive
3445,라울,16.11.19,미소 영준 드럽다 멋지다,김 비서가 왜 그럴까(애장판) 38화,4,댓글 달기,미소 영준 드럽다 멋지다,"['미소', '영준', '드럽다', '멋지다']",Positive
3446,혜진이,16.11.19,영준 대신 이름 쓰다 성준 그렇다 아니다,김 비서가 왜 그럴까(애장판) 18화,4,댓글 달기,영준 대신 이름 쓰다 성준 그렇다 아니다,"['영준', '대신', '이름', '쓰다', '성준', '그렇다', '아니다']",Neutral
3447,나벌러브,16.11.17,미소 살때 일인 저리 기억 하다 머리 좋다,김 비서가 왜 그럴까(애장판) 51화,4,댓글 달기,미소 살때 일인 저리 기억 하다 머리 좋다,"['미소', '살때', '일인', '저리', '기억', '하다', '머리', '좋다']",Positive
3448,민이,16.11.15,영준 이르다 납치 하다 여자 어떻다 되다 나오다 미소 거미 기억 하다 매달 죽다 여자 시체 맞다 않다,김 비서가 왜 그럴까(애장판) 49화,4,1,영준 이르다 납치 하다 여자 어떻다 되다 나오다 미소 거미 기억 하다 매달 죽다 여자 시체 맞다 않다,"['영준', '이르다', '납치', '하다', '여자', '어떻다', '되다', '나오다', '미소', '거미', '기억', '하다', '매달', '죽다', '여자', '시체', '맞다', '않다']",Negative
3449,나벌러브,16.11.15,성연 나름 트라우마 벗어나다 상태 구나,김 비서가 왜 그럴까(애장판) 49화,4,댓글 달기,성연 나름 트라우마 벗어나다 상태 구나,"['성연', '나름', '트라우마', '벗어나다', '상태', '구나']",Negative
3450,이루리,16.11.09,거기 먼지 많다 사방 팔방 먼지 쌓이다,김 비서가 왜 그럴까(애장판) 64화,4,1,거기 먼지 많다 사방 팔방 먼지 쌓이다,"['거기', '먼지', '많다', '사방', '팔방', '먼지', '쌓이다']",Negative
3451,카페덕후,16.10.29,만화 풀다 나가다 기대,김 비서가 왜 그럴까(애장판) 64화,4,댓글 달기,만화 풀다 나가다 기대,"['만화', '풀다', '나가다', '기대']",Positive
3452,깻잎소녀,16.10.27,빠지다 진전 없다,김 비서가 왜 그럴까(애장판) 33화,4,댓글 달기,빠지다 진전 없다,"['빠지다', '진전', '없다']",Negative
3453,냔♡,16.10.25,제목 비밀 풀리다,김 비서가 왜 그럴까(애장판) 64화,4,댓글 달기,제목 비밀 풀리다,"['제목', '비밀', '풀리다']",Neutral
3454,♤자라나라머리머리,16.10.25,미소 라이네 천생연분 진짜,김 비서가 왜 그럴까(애장판) 10화,4,댓글 달기,미소 라이네 천생연분 진짜,"['미소', '라이네', '천생연분', '진짜']",Positive
3455,♥BEY,16.10.24,본격 주인공 제목 깔다 소설 추위 견디다 질색 하다 날아가다 땃땃 회복,김 비서가 왜 그럴까(애장판) 64화,4,댓글 달기,본격 주인공 제목 깔다 소설 추위 견디다 질색 하다 날아가다 땃땃 회복,"['본격', '주인공', '제목', '깔다', '소설', '추위', '견디다', '질색', '하다', '날아가다', '땃땃', '회복']",Negative
